22761,2,282,0.28,760,0,1082
16372,2,464,0.25,904,0,466
10380,2,39,0.225,1062,0,1362
30765,2,121,0.67,368,0,1961
11163,2,89,0.71,368,0,3249
7445,2,357,0.35,760,0,367
197,2,180,0.14,1914,0,1172
45524,2,360,0.25,1096,0,412
38088,2,538,0.25,1096,0,3307
25238,2,519,0.25,1096,0,524
1405,2,464,0.25,1096,0,1363
359,2,671,0.25,1096,0,718
60676,2,412,0.75,368,0,627
57428,2,418,0.75,368,0,1942
34341,2,416,0.75,368,0,424
10999,2,252,0.75,368,0,3392
5515,2,492,0.75,368,0,988
3305,2,471,0.75,368,0,1570
11699,2,57,0.19,1456,0,2238
47026,2,131,0.29,958,0,393
52412,2,50,0.76,368,0,402
37765,2,198,0.77,368,0,643
2213,2,73,0.32,904,0,3239
56977,2,624,0.8,368,0,2304
48477,2,306,0.25,1208,0,2061
10798,2,498,0.4,760,0,529
9448,2,9,0.30712,1000,0,419
31906,2,199,0.835,368,0,1118
355,2,158,0.34,904,0,732
43506,2,384,0.85,368,0,385
18851,2,450,0.85,368,0,2852
14213,2,472,0.85,368,0,1121
14043,2,421,0.85,368,0,1146
2096,2,53,0.34,928,0,3304
54472,2,23,0.28,1134,0,558
1877,2,52,0.275,1158,0,547
12970,2,424,0.25,1298,0,1913
54253,2,18,0.245891932,1351,0,1173
7579,2,473,0.4,834,0,1406
50080,2,275,0.92,368,0,984
59283,2,633,0.25,1357,0,689
54467,2,106,0.3,1134,0,566
54526,3,103,0.3,1140,0,468
61922,2,304,0.265,1298,0,1152
52441,2,117,0.945,368,0,441
59567,2,156,0.3,1160,0,851
37854,2,286,0.328611111,1080,0,497
46449,2,32,0.275,1312,0,1513
6115,2,321,0.75,486,0,450
33032,2,655,1,368,0,853
21412,2,466,1,368,0,2121
5079,2,338,1,368,0,1072
15093,2,28,0.34,1096,0,838
39392,2,664,0.25,1494,0,2015
36170,2,416,0.25,1494,0,1173
27070,2,209,0.415,904,0,1944
1710,2,322,0.325,1158,0,662
58482,2,260,0.42,900,0,1574
648,2,655,0.35,1096,0,2899
18705,2,67,1.05,368,0,2987
1950,2,52,0.27,1434,0,396
39003,2,228,0.690921986,564,0,2234
51749,2,643,0.3,1312,0,657
499,2,114,0.3,1312,0,377
59095,2,34,0.53,746,0,1134
35869,2,95,0.535,746,0,2925
4458,2,499,0.25,1600,0,1562
36499,2,2,0.28,1442,0,410
54229,2,193,0.45,904,0,1173
40118,2,646,0.45,904,0,1686
29847,2,591,0.45,904,0,2167
10494,2,653,0.45,904,0,1074
12054,3,483,0.75,552,0,2201
7995,6,22,0.112043302,3695,0,688
48565,2,442,0.33313253,1245,0,1672
10529,2,7,0.28,1494,0,1007
49397,2,9,0.465,900,0,1491
1957,2,66,0.28,1506,0,410
39359,2,3,0.385,1096,0,2129
55334,2,121,0.35,1206,0,2310
32003,2,47,0.595,716,0,1158
47777,2,621,0.4,1074,0,2424
35994,2,112,0.4,1074,0,1515
14612,2,627,0.4,1074,0,677
9248,2,232,0.462931034,928,0,936
49334,2,385,0.4,1080,0,1454
55989,2,245,0.28,1546,0,446
6020,2,511,0.334633205,1295,0,879
45368,2,691,0.375,1158,0,746
59277,2,553,0.25,1744,0,733
5974,2,396,0.4,1096,0,431
12141,2,488,0.25,1757,0,2184
28668,2,179,0.38,1158,0,785
19860,2,199,0.38,1158,0,645
12756,2,176,0.38,1158,0,1963
54279,2,194,0.295,1494,0,1137
28946,2,231,0.34,1312,0,428
2518,2,96,0.34,1312,0,2099
8959,2,3,0.28,1598,0,1893
43419,2,296,0.625,716,0,421
42586,2,78,0.6,746,0,673
60703,2,37,0.37,1210,0,661
57172,2,322,0.75,597,0,2176
18199,2,183,0.44848,1000,0,1298
28804,2,222,0.287701149,1566,0,595
228,2,247,0.38,1186,0,1151
60262,2,499,0.25,1807,0,851
27976,2,398,0.4,1134,0,2721
19683,2,461,0.4,1134,0,1033
1954,2,18,0.28,1622,0,413
50746,2,162,0.55,826,0,668
4563,2,644,0.25,1832,0,1479
55353,2,356,0.25,1850,0,2228
27523,2,208,0.265,1746,0,514
6880,2,492,0.351442673,1317,0,498
47176,3,337,0.283333333,1644,0,3303
9245,2,318,0.425,1096,0,952
27078,2,338,0.35,1332,0,395
56693,2,12,0.41,1158,0,2447
51158,2,392,0.4,1190,0,428
37333,2,35,0.255966792,1867,0,1853
24738,2,275,0.487202442,983,0,634
45137,2,7,0.33,1456,0,1230
46985,2,180,0.415,1158,0,466
24468,2,678,0.35058309,1372,0,692
55667,2,56,0.44,1096,0,944
25685,2,243,0.635,760,0,423
33532,2,612,0.4,1208,0,640
10482,2,709,0.4,1208,0,1099
52545,2,379,0.325,1494,0,381
1518,2,159,0.42,1158,0,1016
25715,2,306,0.375,1298,0,1397
49826,2,180,0.28,1744,0,1363
13530,2,564,0.36176906,1351,0,1480
28315,2,185,0.28,1746,0,2177
20910,2,31,0.28,1746,0,2141
19877,2,72,0.28,1746,0,623
477,2,175,0.28,1746,0,460
18448,2,281,0.75,660,0,840
55488,2,23,0.34,1456,0,1399
36264,2,91,0.33,1506,0,936
14263,2,270,0.415,1206,0,684
30285,2,56,0.274389041,1825,0,2161
51554,2,195,0.415,1208,0,684
37117,2,155,0.38,1332,0,2569
36431,2,87,0.391915058,1295,0,566
54148,2,283,0.34,1494,0,1230
12213,2,279,0.28,1820,0,2156
27557,2,275,0.465,1096,0,424
9348,2,543,0.45,1134,0,638
59391,2,682,0.394208494,1295,0,1033
42305,2,499,0.400584567,1283,0,508
32287,3,91,0.36,1437,0,418
31419,2,169,0.47,1102,0,1110
41576,2,593,0.4,1298,0,779
26177,2,584,0.4,1298,0,740
7895,2,722,0.4,1298,0,725
5074,2,660,0.4,1298,0,1148
33055,2,419,0.137586116,3774,0,934
9421,2,359,0.475,1096,0,496
18330,2,126,0.4,1306,0,1172
32286,2,398,0.4,1312,0,419
28302,2,578,0.350132626,1508,0,2333
45180,2,91,0.695,760,0,1188
10917,2,190,0.33,1602,0,395
45499,2,406,0.286930586,1844,0,468
27730,2,477,0.525,1008,0,2896
3613,2,205,0.49,1080,0,2008
2445,2,42,0.249624765,2132,0,2482
52082,2,35,0.46,1158,0,482
9165,2,727,0.4,1339,0,1154
8052,2,605,0.4,1339,0,606
45461,2,88,0.28,1914,0,551
25258,2,492,0.475,1134,0,507
5082,2,333,0.313499421,1726,0,1175
18641,2,404,0.293506494,1848,0,415
17190,2,224,0.323093824,1684,0,633
14790,3,149,0.58010661,938,0,1083
27574,2,305,0.365,1494,0,406
51061,2,499,0.5,1096,0,570
12654,2,566,0.5,1096,0,2021
62216,2,131,0.32,1714,0,378
54880,2,147,0.92,597,0,2808
36289,2,658,0.475,1158,0,882
37414,2,245,0.34,1622,0,1485
30178,2,319,0.5,1104,0,2139
21318,3,579,1,552,0,2157
7300,3,364,1,552,0,423
1931,2,243,0.405750916,1365,0,423
9663,2,59,0.73,760,0,2867
48048,2,16,0.275,2020,0,2230
14338,2,448,0.5,1114,0,449
45649,2,570,0.25,2230,0,2940
27389,2,432,0.425,1312,0,820
50865,4,170,0.39,1432,0,770
411,2,327,0.25,2234,0,594
18746,2,114,0.735,760,0,2946
26504,3,318,0.5,1119,0,959
50984,2,511,0.375,1494,0,576
32112,2,386,0.4,1406,0,1177
18530,2,92,0.381192412,1476,0,638
45245,2,432,0.25,2254,0,1162
13260,2,430,0.25,2254,0,1491
57515,2,130,0.515,1096,0,1315
11425,2,76,0.278965007,2029,0,2242
37794,2,386,0.425,1332,0,579
56481,2,16,0.49,1158,0,2493
49511,2,78,0.49,1158,0,1498
27169,2,170,0.49,1158,0,1228
54150,2,266,0.38,1494,0,1228
47671,2,341,0.498463565,1139,0,2419
59497,2,296,0.49,1160,0,1062
54197,2,90,0.29,1962,0,1197
32463,2,309,0.75,760,0,867
31576,2,501,0.75,760,0,1460
27377,2,519,0.25,2288,0,840
37948,2,119,0.415,1380,0,413
7494,2,375,0.8,716,0,1570
5419,2,545,0.543519395,1057,0,1015
45181,2,46,0.385,1494,0,1188
39944,3,397,0.328107184,1754,0,1840
59996,2,648,0.533966636,1079,0,706
35007,2,632,0.4,1442,0,657
8243,2,104,0.436467474,1322,0,1615
3423,2,341,0.7,826,0,2041
40302,2,331,0.5,1158,0,681
31242,2,331,0.5,1158,0,681
4973,2,443,0.5,1158,0,1171
37503,2,232,0.700773881,827,0,1223
50488,2,355,0.5,1160,0,1061
43269,2,393,0.4,1456,0,465
47021,2,47,0.27,2158,0,411
14502,2,405,0.4,1458,0,947
